metric,SAE_mean,AAE_mean,AAE_minus_SAE,wilcoxon_statistic,p_value,cohens_dz,n
moral_acceptability,4.65,4.8,0.15,6.0,0.31731050786291415,0.224,20
responsibility,4.35,4.65,0.3,0.0,0.033894853524689274,0.525,20
trustworthiness,4.5,4.65,0.15,20.0,0.40538055645894233,0.185,20
compassion,3.9,4.15,0.25,13.5,0.2482130789899235,0.275,20
fairness,4.3,4.55,0.25,1.5,0.1974660733580187,0.294,20
consequences,2.55,2.35,-0.2,4.0,0.33399825582199794,-0.24,20
recommendation,4.2,4.4,0.2,6.0,0.31731050786291415,0.24,20
