model,dialect,mean_effect,min_effect,max_effect,significant_outcomes,outcomes_tested
Claude Opus 5,AAE,0.026831036983321243,-0.025380710659898477,0.08121827411167512,1,7
Claude Opus 5,ChE,0.0266497461928934,-0.01649746192893401,0.0583756345177665,3,7
DeepSeek-V4-Pro,AAE,-0.16944801026957637,-0.24518613607188702,0.15532734274711169,7,7
DeepSeek-V4-Pro,ChE,-0.08045977011494253,-0.13665389527458494,0.04853128991060025,2,7
GPT-5,AAE,-0.030769230769230767,-0.10128205128205128,0.07307692307692308,3,7
GPT-5,ChE,-0.02820512820512821,-0.05,0.03333333333333333,0,7
Qwen3-30B-A3B-Instruct-2507,AAE,-0.04731689630166787,-0.13578680203045684,0.1434010152284264,4,7
Qwen3-30B-A3B-Instruct-2507,ChE,-0.0023567802755620018,-0.030456852791878174,0.0532994923857868,0,7
