model,dialect,comparison,outcome,estimate,standard_error,ci_low,ci_high,t_stat,p_value,n,p_bonferroni,significant_bonferroni
DeepSeek-V4-Pro,ChE,ChE - SAE,trustworthiness,-0.09067688378033206,0.03020309250959664,-0.1499656208333879,-0.031388146727276224,-3.0022383883875685,0.0027653504807781566,783,0.15485962692357677,False
DeepSeek-V4-Pro,AAE,AAE - SAE,compassion,-0.17458279845956354,0.03494883132177397,-0.2431879780019973,-0.10597761891712978,-4.995383017308342,7.25462690157705e-07,779,4.062591064883148e-05,True
DeepSeek-V4-Pro,ChE,ChE - SAE,compassion,-0.07790549169859515,0.03500403404838187,-0.14661848755593368,-0.009192495841256615,-2.225614670323876,0.026324393683167552,783,1.0,False
DeepSeek-V4-Pro,AAE,AAE - SAE,fairness,-0.2233632862644416,0.034827713256591716,-0.29173070888358493,-0.15499586364529827,-6.413377893025073,2.468653554369172e-10,779,1.3824459904467362e-08,True
DeepSeek-V4-Pro,ChE,ChE - SAE,fairness,-0.1123882503192848,0.031044321218478797,-0.1733283211788556,-0.05144817945971399,-3.620251495542022,0.0003132748606127938,783,0.017543392194316453,True
DeepSeek-V4-Pro,AAE,AAE - SAE,consequences,0.15532734274711169,0.04241267214760931,0.07207051047219996,0.2385841750220234,3.6622861725506035,0.0002668953248850739,779,0.014946138193564138,True
DeepSeek-V4-Pro,ChE,ChE - SAE,consequences,0.04853128991060025,0.039722751882901704,-0.029444559438628864,0.12650713925982937,1.221750448047133,0.22217017687693985,783,1.0,False
DeepSeek-V4-Pro,AAE,AAE - SAE,recommendation,-0.23876765083440307,0.034933070309154025,-0.30734189122781047,-0.17019341044099567,-6.83500329977681,1.656853196929911e-11,779,9.278377902807502e-10,True
DeepSeek-V4-Pro,ChE,ChE - SAE,recommendation,-0.08556832694763729,0.031074742185931196,-0.14656811423325328,-0.024568539662021306,-2.7536295051348025,0.006030616980235737,783,0.3377145508932013,False
Claude Opus 5,AAE,AAE - SAE,moral_acceptability,-0.025380710659898477,0.01583449031222789,-0.056463543875959935,0.005702122556162984,-1.6028751263498957,0.10936346989843576,788,1.0,False
Claude Opus 5,ChE,ChE - SAE,moral_acceptability,0.0038071065989847717,0.010236890186538604,-0.016287733465023997,0.023901946662993542,0.3719006973417644,0.7100668969701509,788,1.0,False
Claude Opus 5,AAE,AAE - SAE,responsibility,0.04187817258883249,0.018646273591033213,0.005275856966234407,0.07848048821143057,2.245927175978542,0.024985357018125192,788,1.0,False
Claude Opus 5,ChE,ChE - SAE,responsibility,0.0583756345177665,0.016326958508148567,0.026326094669777873,0.09042517436575512,3.5754139075340943,0.0003710080189769513,788,0.02077644906270927,True
Claude Opus 5,AAE,AAE - SAE,trustworthiness,0.01015228426395939,0.015020608703512382,-0.019332913297117445,0.03963748182503622,0.6758903360278206,0.4993088325562576,788,1.0,False
Claude Opus 5,ChE,ChE - SAE,trustworthiness,0.021573604060913704,0.010970229124430051,3.9232224939966115e-05,0.043107975896887446,1.9665591134163793,0.0495850863527382,788,1.0,False
Claude Opus 5,AAE,AAE - SAE,compassion,0.08121827411167512,0.01659571773723607,0.04864116450120712,0.11379538372214312,4.8939295906102585,1.199269080440968e-06,788,6.715906850469421e-05,True
Claude Opus 5,ChE,ChE - SAE,compassion,0.05710659898477157,0.012208336143544987,0.033141844280770424,0.08107135368877272,4.677672560233853,3.41449214962682e-06,788,0.00019121156037910192,True
Claude Opus 5,AAE,AAE - SAE,fairness,0.05456852791878172,0.01706761269701057,0.021065096586493352,0.08807195925107009,3.197197457400678,0.001443159691756104,788,0.08081694273834183,False
Claude Opus 5,ChE,ChE - SAE,fairness,0.03807106598984772,0.011132525323860935,0.016218109494750776,0.05992402248494466,3.4198050201824355,0.0006589306585144057,788,0.03690011687680672,True
Claude Opus 5,AAE,AAE - SAE,consequences,0.021573604060913704,0.013356490447162113,-0.004644957871607767,0.04779216599343518,1.6152150257029159,0.106664936697587,788,1.0,False
Claude Opus 5,ChE,ChE - SAE,consequences,-0.01649746192893401,0.010981415438708843,-0.0380537923081999,0.005058868450331874,-1.502307423028677,0.13341885534540004,788,1.0,False
Claude Opus 5,AAE,AAE - SAE,recommendation,0.0038071065989847717,0.014862494431841828,-0.02536771535552015,0.03298192855348969,0.25615529186193126,0.7978978694570054,788,1.0,False
Claude Opus 5,ChE,ChE - SAE,recommendation,0.024111675126903553,0.011109616881186283,0.002303687512323467,0.04591966274148364,2.1703426306028395,0.03027928611751516,788,1.0,False
